username,password,first_name,last_name,email,phone,picture,role
biggorilla441,budlight,Milton,Brooks,milton.brooks@example.com,(264) 623-8294,https://randomuser.me/api/portraits/men/84.jpg,EMPLOYEE
brownpeacock172,wing,Troy,Lawrence,troy.lawrence@example.com,(385) 822-9228,https://randomuser.me/api/portraits/men/86.jpg,EMPLOYEE
beautifulgoose694,masturbation,Ramon,Austin,ramon.austin@example.com,(721) 885-5622,https://randomuser.me/api/portraits/men/2.jpg,EMPLOYEE
angrylion859,boston,Devon,Newman,devon.newman@example.com,(534) 456-4057,https://randomuser.me/api/portraits/men/54.jpg,EMPLOYEE
whitepeacock230,acidburn,Scarlett,George,scarlett.george@example.com,(423) 533-5248,https://randomuser.me/api/portraits/women/44.jpg,EMPLOYEE
heavycat593,handball,Nellie,Alvarez,nellie.alvarez@example.com,(308) 653-0140,https://randomuser.me/api/portraits/women/37.jpg,EMPLOYEE
silverladybug107,turner,Ramona,Jennings,ramona.jennings@example.com,(955) 733-8398,https://randomuser.me/api/portraits/women/4.jpg,EMPLOYEE
sadswan548,midnite,Chester,Hanson,chester.hanson@example.com,(447) 718-0894,https://randomuser.me/api/portraits/men/32.jpg,EMPLOYEE
heavyfrog453,nancy1,Ella,Morris,ella.morris@example.com,(621) 300-5850,https://randomuser.me/api/portraits/women/22.jpg,EMPLOYEE
bluebutterfly852,morton,June,Black,june.black@example.com,(944) 383-4690,https://randomuser.me/api/portraits/women/2.jpg,EMPLOYEE
happyladybug660,volume,Adrian,Mills,adrian.mills@example.com,(961) 560-0389,https://randomuser.me/api/portraits/men/60.jpg,EMPLOYEE
beautifulzebra682,shuo,Cindy,Jackson,cindy.jackson@example.com,(496) 521-0547,https://randomuser.me/api/portraits/women/66.jpg,EMPLOYEE
silverdog817,789456,Devon,Knight,devon.knight@example.com,(268) 207-0039,https://randomuser.me/api/portraits/men/61.jpg,EMPLOYEE
beautifultiger292,turnip,Harold,Vargas,harold.vargas@example.com,(347) 704-5891,https://randomuser.me/api/portraits/men/46.jpg,EMPLOYEE
ticklishtiger323,gratis,Bradley,Morales,bradley.morales@example.com,(670) 593-1827,https://randomuser.me/api/portraits/men/78.jpg,EMPLOYEE
yellowbear818,stardust,Samuel,Jordan,samuel.jordan@example.com,(568) 712-5879,https://randomuser.me/api/portraits/men/32.jpg,EMPLOYEE
redfish569,benny,Arron,Warren,arron.warren@example.com,(879) 723-5556,https://randomuser.me/api/portraits/men/84.jpg,EMPLOYEE
ticklishpeacock840,hokies,Becky,Kelly,becky.kelly@example.com,(229) 625-0031,https://randomuser.me/api/portraits/women/3.jpg,EMPLOYEE
ticklishgorilla374,striker,Milton,Coleman,milton.coleman@example.com,(563) 991-7069,https://randomuser.me/api/portraits/men/89.jpg,EMPLOYEE
silvermeercat258,touching,Rita,Fletcher,rita.fletcher@example.com,(800) 427-6628,https://randomuser.me/api/portraits/women/75.jpg,EMPLOYEE
yellowpeacock472,natalie,Darren,Sanders,darren.sanders@example.com,(474) 385-1709,https://randomuser.me/api/portraits/men/78.jpg,EMPLOYEE
crazypeacock827,conover,Andy,Welch,andy.welch@example.com,(483) 879-8733,https://randomuser.me/api/portraits/men/29.jpg,EMPLOYEE
heavywolf339,strawber,Jayden,Bryant,jayden.bryant@example.com,(463) 877-5827,https://randomuser.me/api/portraits/men/63.jpg,EMPLOYEE
goldenrabbit361,pheonix,Jayden,Mendoza,jayden.mendoza@example.com,(822) 473-1905,https://randomuser.me/api/portraits/men/4.jpg,EMPLOYEE
greendog689,dudedude,Leslie,Byrd,leslie.byrd@example.com,(760) 815-5625,https://randomuser.me/api/portraits/men/68.jpg,EMPLOYEE
smallpeacock929,amateurs,Bill,White,bill.white@example.com,(714) 707-1917,https://randomuser.me/api/portraits/men/55.jpg,EMPLOYEE
happypeacock391,belle,Victoria,Snyder,victoria.snyder@example.com,(221) 710-1631,https://randomuser.me/api/portraits/women/69.jpg,EMPLOYEE
happymouse341,chou,Fred,Jordan,fred.jordan@example.com,(584) 878-7954,https://randomuser.me/api/portraits/men/3.jpg,EMPLOYEE
crazyostrich937,million,Gary,Martinez,gary.martinez@example.com,(535) 839-1543,https://randomuser.me/api/portraits/men/43.jpg,EMPLOYEE
goldengoose779,zxcvb,Martha,Wood,martha.wood@example.com,(950) 493-2337,https://randomuser.me/api/portraits/women/42.jpg,EMPLOYEE
bigfrog276,shua,Jennie,Harvey,jennie.harvey@example.com,(695) 514-2552,https://randomuser.me/api/portraits/women/27.jpg,EMPLOYEE
whitedog586,iceman,Joyce,Rhodes,joyce.rhodes@example.com,(210) 455-0242,https://randomuser.me/api/portraits/women/0.jpg,EMPLOYEE
redmouse375,ernest,Daniel,Robinson,daniel.robinson@example.com,(490) 433-5709,https://randomuser.me/api/portraits/men/57.jpg,EMPLOYEE
beautifulzebra858,concrete,Hugh,Long,hugh.long@example.com,(412) 598-5325,https://randomuser.me/api/portraits/men/58.jpg,EMPLOYEE
brownbird340,282828,Mia,Morrison,mia.morrison@example.com,(617) 430-3622,https://randomuser.me/api/portraits/women/81.jpg,EMPLOYEE
blackwolf831,murray,Joy,Matthews,joy.matthews@example.com,(326) 357-4751,https://randomuser.me/api/portraits/women/15.jpg,EMPLOYEE
orangewolf608,meatloaf,Diane,Schmidt,diane.schmidt@example.com,(271) 574-0882,https://randomuser.me/api/portraits/women/88.jpg,EMPLOYEE
happybear310,doodle,Laurie,Collins,laurie.collins@example.com,(938) 969-5723,https://randomuser.me/api/portraits/women/82.jpg,EMPLOYEE
beautifuldog765,hhhhh,Byron,Cruz,byron.cruz@example.com,(811) 822-7443,https://randomuser.me/api/portraits/men/3.jpg,EMPLOYEE
sadlion418,chinook,Ralph,Robertson,ralph.robertson@example.com,(296) 762-1199,https://randomuser.me/api/portraits/men/58.jpg,EMPLOYEE
purplefrog287,billabon,Tommy,Price,tommy.price@example.com,(208) 925-6340,https://randomuser.me/api/portraits/men/70.jpg,EMPLOYEE
heavyleopard798,kisskiss,Hazel,Fleming,hazel.fleming@example.com,(781) 256-4206,https://randomuser.me/api/portraits/women/84.jpg,EMPLOYEE
tinyelephant504,sabbath,Alexander,Carroll,alexander.carroll@example.com,(314) 643-2930,https://randomuser.me/api/portraits/men/81.jpg,EMPLOYEE
orangemeercat426,rosebud,Sonia,Coleman,sonia.coleman@example.com,(875) 420-1145,https://randomuser.me/api/portraits/women/43.jpg,EMPLOYEE
bluelion756,guess,Soham,Hopkins,soham.hopkins@example.com,(515) 385-0180,https://randomuser.me/api/portraits/men/88.jpg,EMPLOYEE
greenfish272,synergy,Greg,Edwards,greg.edwards@example.com,(865) 349-6867,https://randomuser.me/api/portraits/men/47.jpg,EMPLOYEE
heavyostrich476,quartz,Frederick,Lewis,frederick.lewis@example.com,(376) 423-9961,https://randomuser.me/api/portraits/men/31.jpg,EMPLOYEE
ticklishcat507,99999,Lester,Perez,lester.perez@example.com,(862) 853-5981,https://randomuser.me/api/portraits/men/7.jpg,EMPLOYEE
blackwolf828,kerstin,Sofia,Peck,sofia.peck@example.com,(286) 433-9808,https://randomuser.me/api/portraits/women/53.jpg,EMPLOYEE
silverwolf561,max123,Darrell,Ross,darrell.ross@example.com,(336) 844-8380,https://randomuser.me/api/portraits/men/84.jpg,EMPLOYEE
ticklishcat728,nebraska,Maurice,West,maurice.west@example.com,(338) 459-7778,https://randomuser.me/api/portraits/men/26.jpg,EMPLOYEE
brownfrog712,blanca,Zoey,Little,zoey.little@example.com,(897) 504-2400,https://randomuser.me/api/portraits/women/77.jpg,EMPLOYEE
blackgoose652,maggie,Alan,Griffin,alan.griffin@example.com,(787) 685-9698,https://randomuser.me/api/portraits/men/93.jpg,EMPLOYEE
sadbird456,ferguson,Marsha,Clark,marsha.clark@example.com,(274) 377-7664,https://randomuser.me/api/portraits/women/13.jpg,EMPLOYEE
angryladybug716,stripper,Caleb,Foster,caleb.foster@example.com,(895) 771-4124,https://randomuser.me/api/portraits/men/35.jpg,EMPLOYEE
sadduck525,vibrate,Beth,Graves,beth.graves@example.com,(883) 522-6014,https://randomuser.me/api/portraits/women/17.jpg,EMPLOYEE
yellowleopard863,arrow,Charlene,Turner,charlene.turner@example.com,(804) 268-3207,https://randomuser.me/api/portraits/women/27.jpg,EMPLOYEE
angrykoala803,5555555,Gordon,Meyer,gordon.meyer@example.com,(367) 324-0059,https://randomuser.me/api/portraits/men/81.jpg,EMPLOYEE
